game_id,country_id,name,event,time
37,1,Кай Хаверц,пенальти,53
37,10,Йоаким Андерсен,желтая карточка,57
37,10,Йоаким Меле,желтая карточка,60
37,1,Нико Шлоттербек,пас,68
37,1,Джамал Мусиала,гол,68
38,12,Марк Гехи,желтая карточка,3
38,12,Кобби Мейну,желтая карточка,7
38,18,Юрай Куцка,желтая карточка,13
38,12,Джуд Беллингем,желтая карточка,17
38,18,Давид Стрелец,пас,25
38,18,Иван Шранц,гол,25
38,18,Милан Шкриньяр,желтая карточка,45+1
38,18,Петер Пекарик,желтая карточка,77
38,12,Марк Гехи,пас,90+5
38,12,Джуд Беллингем,гол,90+5
38,12,Айван Тоуни,пас,90+5
38,12,Гарри Кейн,гол,91
38,18,Денис Вавро,желтая карточка,108
38,18,Норберт Дьомбер,желтая карточка,114
38,18,Томаш Суслов,желтая карточка,120+2
39,5,Робен Ле Норман,автогол,18
39,5,Нико Уильямс,пас,39
39,5,Родри,гол,39
39,5,Альваро Мората,желтая карточка,44
39,5,Ламин Ямаль,пас,51
39,5,Фабиан Руис,гол,51
39,22,Зурико Давиташвили,желтая карточка,71
39,5,Фабиан Руис,пас,75
39,5,Нико Уильямс,гол,75
39,5,Микель Оярсабаль,пас,83
39,5,Дани Ольмо,гол,83
40,16,Орельен Чуамени,желтая карточка,14
40,16,Антуан Гризманн,желтая карточка,23
40,16,Адриен Рабьо,желтая карточка,24
40,17,Ян Вертонген,желтая карточка,76
40,17,Ян Вертонген,автогол,85
40,17,Орель Мангаля,желтая  карточка,90+3
41,9,Ваня Дркушич,желтая карточка,32
41,9,Жан Карничник,желтая карточка,37
41,9,Йон Горенц-Станкович,желтая карточка,101
41,23,Криштиану Роналду,нет пенальти,105
41,9,Яка Бийол,желтая карточка,106
41,9,Юре Балковец,желтая карточка,106
41,23,Жуан Канселу,желтая карточка,107
42,14,Хави Симонс,пас,20
42,14,Коди Гакпо,гол,20
42,19,Мариус Марин,желтая карточка,67
42,14,Дензел Дюмфрис,желтая карточка,78
42,19,Николае Станчу,желтая карточка,81
42,14,Коди Гакпо,пас,83
42,14,Дониелл Мален,гол,83
42,14,Дониелл Мален,гол,90+3
42,14,Дониелл Мален,желтая карточка,90+4
43,21,Мерих Демирал,гол,1
43,21,Оркун Кёкчю,желтая карточка,11
43,15,Романо Шмид,желтая карточка,38
43,21,Исмаил Юксек,желтая карточка,42
43,15,Филипп Линхарт,желтая карточка,52
43,21,Арда Гюлер,пас,59
43,21,Мерих Демирал,гол,59
43,15,Штефан Пош,пас,66
